"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 15 23:18:48 GMT 2023","Sun Jan 15 23:18:53 GMT 2023","5233","tests.delete_todo.positive","test_delete_last_item","","","","Last item deletion","1. Precondition: Check if there is only 1 item in the list
2. Click on X deletion button of the last item
3. Validate that TODO list is empty
"
"passed","Sun Jan 15 23:18:36 GMT 2023","Sun Jan 15 23:18:36 GMT 2023","79","tests.create_todo.positive","test_create_by_keyboard","","","","Creation of a new unique item by keyboard 'Enter' button","Precondition: Count total items before test
Create a new todo item by input 'Enter'
Validate that new item appeared in the top of TODO list"
"passed","Sun Jan 15 23:18:30 GMT 2023","Sun Jan 15 23:18:30 GMT 2023","120","tests.complete_todo.positive","test_complete_last_item","","","","Completion of a last not completed item","Precondition: Check if There are 2 items on the list: 1 is completed, 1 is uncompleted
click on '[]' parenthesis in order to complete last uncompleted items
Selected item has changed its order - it appeared in the bottom of 'TODO list', 'X' appeared inside parenthesis"
"passed","Sun Jan 15 23:19:01 GMT 2023","Sun Jan 15 23:19:01 GMT 2023","83","tests.create_todo.positive","test_create_by_keyboard","","","","Creation of a new unique item by keyboard 'Enter' button","Precondition: Count total items before test
Create a new todo item by input 'Enter'
Validate that new item appeared in the top of TODO list"
"failed","Sun Jan 15 23:18:55 GMT 2023","Sun Jan 15 23:19:00 GMT 2023","5074","tests.create_todo.negative","test_create_invalid_name","","","","Creation of a new unique item by keyboard 'Enter' button","Precondition: Count total items before test
Create a new todo item by input 'Enter'
Validate that new item appeared in the top of TODO list"
"passed","Sun Jan 15 23:18:48 GMT 2023","Sun Jan 15 23:18:48 GMT 2023","105","tests.delete_todo.positive","test_delete_item","","","","Completed item Deletion by button","1. Precondition: Check if there is a completed item in the list
2. Click on X deletion button of first completed item
3. Validate that new item appeared in the top of TODO list
Total number of elements decreased by 1
"
"passed","Sun Jan 15 23:18:29 GMT 2023","Sun Jan 15 23:18:30 GMT 2023","145","tests.complete_todo.positive","test_complete_item","","","","Completion of an item by button","Precondition: Check if there are 3 items on the list: 1 is completed, 2 - are uncompleted
click on '[]' parenthesis in order to complete one of the uncompleted items
Selected item has changed its order - it appeared in the bottom of 'TODO list', 'X' appeared inside parenthesis"
"passed","Sun Jan 15 23:19:02 GMT 2023","Sun Jan 15 23:19:02 GMT 2023","85","tests.create_todo.positive","test_create_by_keyboard","","","","Creation of a new unique item by keyboard 'Enter' button","Precondition: Count total items before test
Create a new todo item by input 'Enter'
Validate that new item appeared in the top of TODO list"
"passed","Sun Jan 15 23:18:29 GMT 2023","Sun Jan 15 23:18:29 GMT 2023","86","tests.complete_todo.negative","test_not_complete_by_name","","","","Item is not completed by clicking on his name","Precondition: Check if there is an un-completed item in the list
click on item name (not on '[]' parenthesis)
Item hasn't been changed, it's still displayed un-complete"
"passed","Sun Jan 15 23:19:01 GMT 2023","Sun Jan 15 23:19:01 GMT 2023","96","tests.create_todo.positive","test_create_by_button","","","","Creation of a new unique item by button","Precondition: Count total items before test
Create a new todo item by clicking '+' button
Validate that new item appeared in the top of TODO list"
"passed","Sun Jan 15 23:18:55 GMT 2023","Sun Jan 15 23:18:55 GMT 2023","125","tests.uncomplete_todo.positive","test_uncomplete_last_item","","","","Un-completion of a last completed item","Precondition: Check if There are 2 items on the list: 1 is completed, 1 is uncompleted
click on '[]' parenthesis in order to complete last uncompleted items
Selected item has changed its order - it appeared in the bottom of 'TODO list', 'X' appeared inside parenthesis"
